Біграма,Кількість,Частота
зр,277,0.00039138
лк,276,0.00038997
аю,272,0.00038431
дс,271,0.00038290
вз,269,0.00038008
ха,261,0.00036877
 ц,259,0.00036595
ыр,258,0.00036453
ыш,257,0.00036312
бя,253,0.00035747
рв,251,0.00035464
ци,248,0.00035040
ср,244,0.00034475
ьи,243,0.00034334
шн,243,0.00034334
ц ,242,0.00034193
рс,241,0.00034051
юд,241,0.00034051
вп,237,0.00033486
бн,235,0.00033204
нг,234,0.00033062
чь,233,0.00032921
чу,232,0.00032780
вд,230,0.00032497
лн,228,0.00032215
сы,228,0.00032215
зы,226,0.00031932
дя,225,0.00031791
хв,223,0.00031508
ща,223,0.00031508
иш,221,0.00031226
иг,221,0.00031226
рг,221,0.00031226
зл,217,0.00030660
ья,216,0.00030519
сч,212,0.00029954
кн,211,0.00029813
пс,211,0.00029813
лж,209,0.00029530
ющ,209,0.00029530
нч,208,0.00029389
рд,207,0.00029247
нд,207,0.00029247
ют,207,0.00029247
ях,206,0.00029106
пя,206,0.00029106
фр,204,0.00028824
ец,201,0.00028400
нк,197,0.00027835
нц,195,0.00027552
ип,192,0.00027128
лл,191,0.00026987
йс,191,0.00026987
ущ,186,0.00026280
шо,185,0.00026139
гн,183,0.00025856
мл,179,0.00025291
ея,176,0.00024867
хр,174,0.00024585
чк,174,0.00024585
ъя,173,0.00024444
бъ,172,0.00024302
бщ,169,0.00023878
яж,169,0.00023878
юб,164,0.00023172
хи,160,0.00022607
ыч,158,0.00022324
зб,158,0.00022324
ык,157,0.00022183
ге,156,0.00022042
ын,154,0.00021759
б ,151,0.00021335
ню,151,0.00021335
вя,151,0.00021335
рш,150,0.00021194
ящ,149,0.00021053
сд,144,0.00020346
ьб,143,0.00020205
дк,143,0.00020205
йн,142,0.00020063
рк,139,0.00019640
аи,138,0.00019498
тл,136,0.00019216
ащ,135,0.00019074
ыг,134,0.00018933
сх,133,0.00018792
бс,132,0.00018651
вц,129,0.00018227
як,128,0.00018085
зя,127,0.00017944
гт,125,0.00017662
оо,124,0.00017520
уе,121,0.00017096
мп,119,0.00016814
фо,118,0.00016672
иж,118,0.00016672
цу,118,0.00016672
ып,116,0.00016390
рю,110,0.00015542
дп,108,0.00015260
ыд,108,0.00015260
яз,107,0.00015118
ощ,104,0.00014694
пт,103,0.00014553
фу,103,0.00014553
щ ,101,0.00014270
бх,101,0.00014270
вт,100,0.00014129
ою,99,0.00013988
хн,98,0.00013847
ьз,98,0.00013847
ио,98,0.00013847
дт,97,0.00013705
хл,96,0.00013564
йо,94,0.00013281
юч,94,0.00013281
яе,94,0.00013281
шу,93,0.00013140
гк,93,0.00013140
тч,93,0.00013140
вм,92,0.00012999
вь,92,0.00012999
мк,90,0.00012716
пн,89,0.00012575
кв,87,0.00012292
рх,86,0.00012151
сю,86,0.00012151
яр,86,0.00012151
вк,86,0.00012151
лг,84,0.00011869
яг,84,0.00011869
ац,83,0.00011727
щу,83,0.00011727
цо,82,0.00011586
йш,80,0.00011303
ьм,80,0.00011303
йт,80,0.00011303
уз,79,0.00011162
фи,78,0.00011021
чш,78,0.00011021
дц,76,0.00010738
йл,76,0.00010738
ею,76,0.00010738
жь,76,0.00010738
еи,76,0.00010738
ху,75,0.00010597
тп,73,0.00010314
яб,73,0.00010314
еу,72,0.00010173
зк,70,0.00009890
тб,70,0.00009890
лч,69,0.00009749
фл,69,0.00009749
йч,68,0.00009608
ш ,68,0.00009608
йк,67,0.00009467
яи,67,0.00009467
ж ,67,0.00009467
юр,66,0.00009325
яч,65,0.00009184
шь,65,0.00009184
иа,65,0.00009184
юк,64,0.00009043
яя,63,0.00008901
яй,63,0.00008901
пк,61,0.00008619
ьд,60,0.00008478
уя,58,0.00008195
оц,58,0.00008195
тд,58,0.00008195
мю,57,0.00008054
мс,57,0.00008054
ыз,57,0.00008054
дд,56,0.00007912
яю,55,0.00007771
ыб,55,0.00007771
мь,54,0.00007630
шт,54,0.00007630
йд,53,0.00007488
бк,52,0.00007347
юх,52,0.00007347
 щ,51,0.00007206
фа,50,0.00007065
чф,50,0.00007065
сб,49,0.00006923
вв,48,0.00006782
сг,47,0.00006641
сц,47,0.00006641
йц,45,0.00006358
рч,45,0.00006358
ау,44,0.00006217
цв,43,0.00006076
бь,43,0.00006076
ъе,43,0.00006076
зж,42,0.00005934
мч,42,0.00005934
рп,41,0.00005793
гш,41,0.00005793
эк,41,0.00005793
жу,38,0.00005369
дх,38,0.00005369
нз,37,0.00005228
эл,37,0.00005228
пь,36,0.00005087
оу,35,0.00004945
щн,35,0.00004945
рл,35,0.00004945
йм,33,0.00004663
гс,33,0.00004663
дю,32,0.00004521
хс,32,0.00004521
оэ,32,0.00004521
лм,30,0.00004239
тщ,30,0.00004239
чо,29,0.00004097
ьт,29,0.00004097
мб,29,0.00004097
кц,29,0.00004097
ч ,28,0.00003956
п ,28,0.00003956
оф,28,0.00003956
сш,28,0.00003956
дз,27,0.00003815
рб,27,0.00003815
кж,27,0.00003815
юж,26,0.00003674
ао,26,0.00003674
ьц,25,0.00003532
ыж,25,0.00003532
юс,25,0.00003532
тм,24,0.00003391
бш,24,0.00003391
ьг,23,0.00003250
аф,23,0.00003250
хе,23,0.00003250
дб,22,0.00003108
чр,22,0.00003108
гч,21,0.00002967
лд,21,0.00002967
чм,21,0.00002967
тг,21,0.00002967
тц,20,0.00002826
вч,20,0.00002826
ыу,20,0.00002826
дъ,20,0.00002826
 ю,20,0.00002826
яц,19,0.00002685
вх,19,0.00002685
зь,19,0.00002685
ыя,19,0.00002685
зъ,19,0.00002685
мм,19,0.00002685
тт,18,0.00002543
шп,18,0.00002543
лт,18,0.00002543
дч,18,0.00002543
жб,18,0.00002543
уа,18,0.00002543
рц,18,0.00002543
лф,18,0.00002543
вг,18,0.00002543
лб,18,0.00002543
эн,18,0.00002543
мг,18,0.00002543
щь,18,0.00002543
иф,18,0.00002543
уф,15,0.00002119
яп,15,0.00002119
юю,15,0.00002119
чв,15,0.00002119
юн,15,0.00002119
хт,15,0.00002119
нв,15,0.00002119
бд,15,0.00002119
чл,15,0.00002119
бв,15,0.00002119
нр,14,0.00001978
гв,14,0.00001978
рр,14,0.00001978
хд,14,0.00001978
пш,14,0.00001978
лщ,14,0.00001978
рз,14,0.00001978
пп,13,0.00001837
уй,13,0.00001837
хм,10,0.00001413
вб,10,0.00001413
ыи,10,0.00001413
мр,10,0.00001413
кш,10,0.00001413
мв,10,0.00001413
дг,10,0.00001413
ьч,10,0.00001413
вщ,10,0.00001413
рщ,10,0.00001413
нщ,10,0.00001413
юй,10,0.00001413
яш,10,0.00001413
зз,9,0.00001272
жм,9,0.00001272
юш,9,0.00001272
сз,9,0.00001272
юв,9,0.00001272
дм,9,0.00001272
цк,9,0.00001272
бм,9,0.00001272
тх,9,0.00001272
юц,9,0.00001272
лв,9,0.00001272
нф,9,0.00001272
жг,9,0.00001272
йщ,9,0.00001272
сж,9,0.00001272
дш,8,0.00001130
жв,5,0.00000706
юз,5,0.00000706
бб,5,0.00000706
ьв,5,0.00000706
ф ,5,0.00000706
уо,5,0.00000706
жж,5,0.00000706
кч,5,0.00000706
эг,5,0.00000706
юл,5,0.00000706
тш,5,0.00000706
шв,5,0.00000706
бч,5,0.00000706
лп,5,0.00000706
хш,5,0.00000706
ьж,5,0.00000706
эф,5,0.00000706
фф,5,0.00000706
иу,5,0.00000706
мф,5,0.00000706
пч,5,0.00000706
нб,5,0.00000706
юг,5,0.00000706
съ,5,0.00000706
кз,5,0.00000706
уц,5,0.00000706
ыщ,5,0.00000706
еа,4,0.00000565
кк,4,0.00000565
рф,4,0.00000565
шю,4,0.00000565
лз,4,0.00000565
бг,4,0.00000565
уи,4,0.00000565
ьф,4,0.00000565
юм,4,0.00000565
хк,4,0.00000565
эп,4,0.00000565
еф,4,0.00000565
зц,4,0.00000565
