Біграма,Кількість,Частота
ру,1906,0.00319453
ег,1905,0.00319286
ые,1869,0.00313252
св,1858,0.00311408
ки,1856,0.00311073
пе,1834,0.00307386
вы,1832,0.00307051
ад,1814,0.00304034
ыл,1807,0.00302861
ео,1806,0.00302693
ар,1765,0.00295821
их,1749,0.00293140
ди,1746,0.00292637
сн,1728,0.00289620
ои,1637,0.00274368
ое,1634,0.00273865
уд,1622,0.00271854
еж,1547,0.00259284
дн,1533,0.00256937
ну,1527,0.00255932
эт,1489,0.00249563
оч,1468,0.00246043
ей,1463,0.00245205
ии,1458,0.00244367
ид,1454,0.00243696
мн,1451,0.00243194
кр,1431,0.00239842
хо,1393,0.00233473
ше,1346,0.00225595
ры,1335,0.00223752
са,1334,0.00223584
оз,1308,0.00219226
ма,1293,0.00216712
ьк,1291,0.00216377
еб,1285,0.00215371
ут,1265,0.00212019
ая,1260,0.00211181
аб,1259,0.00211014
ио,1246,0.00208835
ча,1245,0.00208667
ия,1245,0.00208667
ож,1238,0.00207494
ьс,1236,0.00207159
ез,1226,0.00205483
ек,1191,0.00199617
ич,1176,0.00197102
ун,1175,0.00196935
ус,1173,0.00196600
гд,1169,0.00195929
бе,1167,0.00195594
лс,1166,0.00195426
ых,1147,0.00192242
аж,1146,0.00192074
вн,1132,0.00189728
му,1128,0.00189057
ку,1123,0.00188219
ят,1119,0.00187549
ыв,1115,0.00186879
сп,1111,0.00186208
еч,1098,0.00184029
зв,1081,0.00181180
зн,1063,0.00178163
ля,1061,0.00177828
ще,1042,0.00174644
ым,1037,0.00173805
ян,1032,0.00172967
лу,1028,0.00172297
чи,1027,0.00172129
уж,1007,0.00168777
нь,1007,0.00168777
ту,998,0.00167269
ду,997,0.00167101
си,989,0.00165760
оо,987,0.00165425
иб,974,0.00163246
ее,973,0.00163079
рм,945,0.00158386
гл,932,0.00156207
ир,931,0.00156039
уг,929,0.00155704
жа,922,0.00154531
ьв,920,0.00154196
мы,914,0.00153190
дв,914,0.00153190
ый,911,0.00152687
яв,911,0.00152687
нс,906,0.00151849
уп,901,0.00151011
бр,901,0.00151011
ыс,898,0.00150509
тс,894,0.00149838
бу,887,0.00148665
ши,861,0.00144307
яс,850,0.00142464
ня,844,0.00141458
па,841,0.00140955
фе,835,0.00139949
ты,832,0.00139447
аг,821,0.00137603
др,818,0.00137100
жд,815,0.00136597
ао,814,0.00136430
аи,805,0.00134921
жо,799,0.00133916
пи,796,0.00133413
гу,793,0.00132910
ув,789,0.00132240
уч,782,0.00131066
аш,779,0.00130564
га,766,0.00128385
ял,751,0.00125871
кт,748,0.00125368
ря,743,0.00124530
ум,743,0.00124530
йс,736,0.00123357
кс,734,0.00123021
еи,728,0.00122016
ги,726,0.00121681
вр,726,0.00121681
ач,718,0.00120340
ае,717,0.00120172
ьи,708,0.00118664
ую,705,0.00118161
ву,702,0.00117658
ах,693,0.00116150
ош,691,0.00115814
иц,686,0.00114976
мс,681,0.00114138
би,672,0.00112630
вп,665,0.00111457
ьп,657,0.00110116
лю,651,0.00109110
вл,644,0.00107937
яп,635,0.00106429
щи,632,0.00105926
дл,624,0.00104585
ех,615,0.00103077
зг,615,0.00103077
мп,610,0.00102239
рн,609,0.00102071
ук,594,0.00099557
ыт,594,0.00099557
дж,582,0.00097546
мв,582,0.00097546
ий,581,0.00097378
ды,578,0.00096875
сс,575,0.00096372
ын,571,0.00095702
лн,569,0.00095367
ул,559,0.00093691
ьш,557,0.00093356
еу,552,0.00092517
яд,548,0.00091847
жн,544,0.00091177
ищ,543,0.00091009
рь,530,0.00088830
хв,524,0.00087825
ещ,519,0.00086987
пл,518,0.00086819
ям,511,0.00085646
хс,510,0.00085478
ур,509,0.00085311
см,508,0.00085143
мк,507,0.00084975
иу,505,0.00084640
зо,504,0.00084472
оя,501,0.00083970
ша,500,0.00083802
яи,498,0.00083467
зд,494,0.00082796
вд,493,0.00082629
як,486,0.00081456
гр,486,0.00081456
уб,484,0.00081120
йн,482,0.00080785
бл,481,0.00080618
рт,477,0.00079947
иг,476,0.00079780
ье,476,0.00079780
кл,475,0.00079612
тя,474,0.00079444
ба,467,0.00078271
лк,467,0.00078271
йп,464,0.00077768
нт,461,0.00077266
ып,451,0.00075589
тк,451,0.00075589
ох,444,0.00074416
еш,443,0.00074249
кн,432,0.00072405
ай,427,0.00071567
лы,413,0.00069221
оу,412,0.00069053
хп,412,0.00069053
це,411,0.00068885
мя,411,0.00068885
ьо,400,0.00067042
су,398,0.00066706
шл,389,0.00065198
лв,388,0.00065030
пу,388,0.00065030
зм,388,0.00065030
вк,386,0.00064695
ух,382,0.00064025
ьз,380,0.00063690
хи,379,0.00063522
йв,378,0.00063354
ыи,377,0.00063187
вз,377,0.00063187
хн,376,0.00063019
шк,375,0.00062852
чн,374,0.00062684
жк,371,0.00062181
йи,371,0.00062181
цы,368,0.00061678
ьб,366,0.00061343
дь,364,0.00061008
иж,363,0.00060840
ык,363,0.00060840
зи,362,0.00060673
рж,359,0.00060170
дс,358,0.00060002
яо,357,0.00059835
ке,357,0.00059835
вт,356,0.00059667
тп,354,0.00059332
ьд,354,0.00059332
ца,350,0.00058661
нп,349,0.00058494
вш,349,0.00058494
яб,339,0.00056818
ьч,334,0.00055980
кв,330,0.00055309
рв,329,0.00055142
нв,328,0.00054974
йк,326,0.00054639
зе,325,0.00054471
уи,325,0.00054471
йд,323,0.00054136
ыр,323,0.00054136
рс,322,0.00053969
ьт,322,0.00053969
зу,317,0.00053131
нд,316,0.00052963
зр,313,0.00052460
йм,312,0.00052292
лч,311,0.00052125
гн,305,0.00051119
ха,303,0.00050784
нк,298,0.00049946
пы,295,0.00049443
уш,295,0.00049443
нг,293,0.00049108
юд,293,0.00049108
яз,289,0.00048438
ию,287,0.00048102
рд,286,0.00047935
йо,286,0.00047935
ью,281,0.00047097
нч,281,0.00047097
хр,278,0.00046594
ср,277,0.00046426
аф,276,0.00046259
ци,276,0.00046259
яч,272,0.00045588
аю,272,0.00045588
ют,271,0.00045421
иш,267,0.00044750
ья,264,0.00044247
вв,263,0.00044080
бя,258,0.00043242
ыш,257,0.00043074
ау,255,0.00042739
ях,253,0.00042404
яж,253,0.00042404
ыд,252,0.00042236
йт,251,0.00042069
ыб,250,0.00041901
лп,249,0.00041733
сч,249,0.00041733
шн,248,0.00041566
оэ,246,0.00041231
мл,245,0.00041063
лж,245,0.00041063
мч,244,0.00040895
сд,243,0.00040728
дя,243,0.00040728
юб,241,0.00040393
зл,238,0.00039890
бн,235,0.00039387
рг,235,0.00039387
чь,233,0.00039052
йб,233,0.00039052
юн,232,0.00038884
чу,232,0.00038884
ея,229,0.00038381
сы,228,0.00038214
зы,226,0.00037879
ец,225,0.00037711
ьм,225,0.00037711
ща,223,0.00037376
пс,221,0.00037041
мт,217,0.00036370
хт,216,0.00036202
кп,215,0.00036035
ыч,214,0.00035867
тд,211,0.00035364
уо,211,0.00035364
хк,211,0.00035364
мб,210,0.00035197
лл,209,0.00035029
ющ,209,0.00035029
пя,206,0.00034526
шо,205,0.00034359
еэ,205,0.00034359
фр,204,0.00034191
тт,203,0.00034024
йл,202,0.00033856
рп,200,0.00033521
дк,200,0.00033521
нц,200,0.00033521
ыо,199,0.00033353
вэ,198,0.00033186
тб,197,0.00033018
йф,195,0.00032683
дп,195,0.00032683
уз,194,0.00032515
мд,190,0.00031845
рк,190,0.00031845
вм,190,0.00031845
яр,190,0.00031845
мм,188,0.00031510
ущ,186,0.00031174
хб,184,0.00030839
мг,184,0.00030839
иа,184,0.00030839
яу,183,0.00030672
яе,180,0.00030169
зб,178,0.00029834
юс,178,0.00029834
хж,178,0.00029834
тч,177,0.00029666
хд,177,0.00029666
ыз,176,0.00029498
вб,175,0.00029331
вя,175,0.00029331
чк,174,0.00029163
ыг,174,0.00029163
уе,173,0.00028996
ъя,173,0.00028996
бъ,172,0.00028828
хл,169,0.00028325
бщ,169,0.00028325
тл,166,0.00027822
ьу,166,0.00027822
аэ,166,0.00027822
лб,162,0.00027152
юр,160,0.00026817
нб,160,0.00026817
ге,160,0.00026817
юч,157,0.00026314
юп,155,0.00025979
юв,154,0.00025811
юк,154,0.00025811
сх,153,0.00025643
нз,152,0.00025476
ню,151,0.00025308
рш,150,0.00025141
ху,150,0.00025141
вг,149,0.00024973
ящ,149,0.00024973
кк,146,0.00024470
тз,146,0.00024470
кб,145,0.00024303
яг,144,0.00024135
мр,143,0.00023967
мз,143,0.00023967
йр,143,0.00023967
лг,141,0.00023632
зк,141,0.00023632
вц,138,0.00023129
вч,137,0.00022962
бс,137,0.00022962
ащ,135,0.00022627
ьг,133,0.00022291
ьр,130,0.00021789
гт,130,0.00021789
сб,129,0.00021621
лд,129,0.00021621
гк,129,0.00021621
дт,128,0.00021453
зя,127,0.00021286
еа,126,0.00021118
тм,126,0.00021118
йч,125,0.00020951
зс,124,0.00020783
кд,121,0.00020280
ыу,120,0.00020112
лз,120,0.00020112
аа,119,0.00019945
иф,119,0.00019945
фо,118,0.00019777
йз,118,0.00019777
цу,118,0.00019777
иэ,115,0.00019274
ац,114,0.00019107
хм,113,0.00018939
зп,112,0.00018772
тж,110,0.00018436
рю,110,0.00018436
ощ,109,0.00018269
йш,108,0.00018101
ьэ,107,0.00017934
яф,105,0.00017598
гс,104,0.00017431
пт,103,0.00017263
йг,103,0.00017263
фу,103,0.00017263
яя,102,0.00017096
йж,102,0.00017096
еф,102,0.00017096
цо,101,0.00016928
бх,101,0.00016928
уа,100,0.00016760
ою,99,0.00016593
ьж,98,0.00016425
хз,98,0.00016425
гп,96,0.00016090
мж,95,0.00015922
оф,94,0.00015755
пн,94,0.00015755
шу,93,0.00015587
лт,93,0.00015587
лм,92,0.00015420
вь,92,0.00015420
юм,91,0.00015252
км,91,0.00015252
рх,90,0.00015084
щн,90,0.00015084
тг,90,0.00015084
мэ,90,0.00015084
зж,89,0.00014917
ьл,87,0.00014582
сю,86,0.00014414
ею,86,0.00014414
кз,85,0.00014246
юи,85,0.00014246
ыж,85,0.00014246
щу,83,0.00013911
уя,81,0.00013576
юо,81,0.00013576
вж,81,0.00013576
фи,78,0.00013073
чш,78,0.00013073
цв,77,0.00012906
кч,77,0.00012906
йу,76,0.00012738
дц,76,0.00012738
жь,76,0.00012738
нр,73,0.00012235
оц,72,0.00012067
сц,72,0.00012067
хг,71,0.00011900
сг,71,0.00011900
юх,71,0.00011900
фл,69,0.00011565
дд,66,0.00011062
шь,65,0.00010894
гв,65,0.00010894
лр,64,0.00010727
шт,64,0.00010727
ьф,64,0.00010727
яй,63,0.00010559
бэ,62,0.00010391
ьа,62,0.00010391
бк,62,0.00010391
пк,61,0.00010224
яа,60,0.00010056
йц,59,0.00009889
оа,58,0.00009721
мю,57,0.00009553
хф,57,0.00009553
юж,56,0.00009386
хч,56,0.00009386
юф,56,0.00009386
яю,55,0.00009218
уу,55,0.00009218
кж,55,0.00009218
дб,55,0.00009218
мь,54,0.00009051
рб,53,0.00008883
лэ,51,0.00008548
уф,50,0.00008380
тэ,50,0.00008380
фа,50,0.00008380
чф,50,0.00008380
рч,50,0.00008380
зт,49,0.00008213
яэ,49,0.00008213
йа,47,0.00007877
ыя,46,0.00007710
дз,45,0.00007542
уэ,44,0.00007375
лф,44,0.00007375
йя,44,0.00007375
нм,44,0.00007375
кэ,43,0.00007207
бь,43,0.00007207
ъе,43,0.00007207
дч,42,0.00007039
гш,41,0.00006872
эк,41,0.00006872
ыэ,40,0.00006704
ьц,39,0.00006537
юз,39,0.00006537
мх,39,0.00006537
рл,39,0.00006537
дм,39,0.00006537
вф,39,0.00006537
юг,38,0.00006369
тх,38,0.00006369
жу,38,0.00006369
ыа,38,0.00006369
дх,38,0.00006369
яц,37,0.00006201
сэ,37,0.00006201
юл,37,0.00006201
эл,37,0.00006201
пь,36,0.00006034
йх,35,0.00005866
чо,34,0.00005699
кц,34,0.00005699
тф,33,0.00005531
сз,33,0.00005531
вх,33,0.00005531
сш,33,0.00005531
дю,32,0.00005363
хе,32,0.00005363
рр,32,0.00005363
нл,31,0.00005196
ьх,30,0.00005028
бв,30,0.00005028
тщ,30,0.00005028
цн,30,0.00005028
ыф,29,0.00004861
нх,29,0.00004861
рз,28,0.00004693
хэ,28,0.00004693
зз,28,0.00004693
кг,28,0.00004693
яш,28,0.00004693
сф,26,0.00004358
йе,26,0.00004358
тц,25,0.00004190
гч,25,0.00004190
юш,24,0.00004022
мф,24,0.00004022
бш,24,0.00004022
цс,24,0.00004022
цп,23,0.00003855
сж,23,0.00003855
юа,23,0.00003855
цд,23,0.00003855
рф,23,0.00003855
зф,23,0.00003855
зч,22,0.00003687
чр,22,0.00003687
чм,21,0.00003520
нж,21,0.00003520
юэ,20,0.00003352
дъ,20,0.00003352
хц,20,0.00003352
чв,19,0.00003184
зь,19,0.00003184
щз,19,0.00003184
лщ,19,0.00003184
зъ,19,0.00003184
дг,19,0.00003184
бм,18,0.00003017
хя,18,0.00003017
шп,18,0.00003017
жб,18,0.00003017
юу,18,0.00003017
рц,18,0.00003017
йэ,18,0.00003017
цк,18,0.00003017
эн,18,0.00003017
нф,18,0.00003017
щь,18,0.00003017
юю,15,0.00002514
кя,15,0.00002514
шв,15,0.00002514
бд,15,0.00002514
чл,15,0.00002514
жв,14,0.00002346
юе,14,0.00002346
мш,14,0.00002346
кш,14,0.00002346
лц,14,0.00002346
цф,14,0.00002346
вщ,14,0.00002346
пш,14,0.00002346
цт,13,0.00002179
хх,13,0.00002179
зэ,13,0.00002179
гм,13,0.00002179
пп,13,0.00002179
уй,13,0.00002179
кх,13,0.00002179
дш,12,0.00002011
цб,10,0.00001676
бч,10,0.00001676
лх,10,0.00001676
жж,10,0.00001676
ыц,10,0.00001676
рщ,10,0.00001676
нщ,10,0.00001676
юй,10,0.00001676
гг,9,0.00001508
жм,9,0.00001508
гз,9,0.00001508
юц,9,0.00001508
хш,9,0.00001508
жт,9,0.00001508
мц,9,0.00001508
жг,9,0.00001508
йщ,9,0.00001508
лш,9,0.00001508
ыщ,9,0.00001508
кф,8,0.00001341
бг,8,0.00001341
що,8,0.00001341
чг,5,0.00000838
шд,5,0.00000838
гб,5,0.00000838
бб,5,0.00000838
фз,5,0.00000838
гх,5,0.00000838
щс,5,0.00000838
жз,5,0.00000838
хщ,5,0.00000838
эг,5,0.00000838
хю,5,0.00000838
тш,5,0.00000838
щв,5,0.00000838
дэ,5,0.00000838
эф,5,0.00000838
фф,5,0.00000838
пч,5,0.00000838
съ,5,0.00000838
цр,5,0.00000838
жс,5,0.00000838
шг,5,0.00000838
уц,5,0.00000838
юя,5,0.00000838
цч,5,0.00000838
пв,5,0.00000838
зх,4,0.00000670
зщ,4,0.00000670
дф,4,0.00000670
рэ,4,0.00000670
щр,4,0.00000670
шю,4,0.00000670
гф,4,0.00000670
пб,4,0.00000670
шб,4,0.00000670
гэ,4,0.00000670
эп,4,0.00000670
нэ,4,0.00000670
зц,4,0.00000670
шр,4,0.00000670
