Біграма,Кількість,Частота
эг,2,0.00000565
тш,2,0.00000565
фф,2,0.00000565
юг,2,0.00000565
съ,2,0.00000565
кз,2,0.00000565
уц,2,0.00000565
еа,2,0.00000565
рф,2,0.00000565
шю,2,0.00000565
уи,2,0.00000565
ьф,2,0.00000565
хк,2,0.00000565
зц,2,0.00000565
