Біграма,Кількість,Частота
уб,238,0.00079780
йп,236,0.00079109
кл,236,0.00079109
лк,236,0.00079109
рт,235,0.00078774
тк,233,0.00078104
нт,233,0.00078104
ба,230,0.00077098
иг,228,0.00076427
ып,226,0.00075757
ох,222,0.00074416
еш,221,0.00074081
ай,217,0.00072740
кн,216,0.00072405
мя,209,0.00070059
хп,209,0.00070059
лы,208,0.00069723
оу,206,0.00069053
це,200,0.00067042
ьо,199,0.00066706
су,199,0.00066706
вк,197,0.00066036
шл,196,0.00065701
зм,196,0.00065701
ьз,195,0.00065366
пу,194,0.00065030
хн,193,0.00064695
лв,193,0.00064695
ух,192,0.00064360
хи,191,0.00064025
ыи,189,0.00063354
йв,189,0.00063354
цы,188,0.00063019
ьб,186,0.00062349
жк,186,0.00062349
шк,185,0.00062014
вз,185,0.00062014
рж,184,0.00061678
иж,183,0.00061343
зи,182,0.00061008
тп,180,0.00060337
вт,180,0.00060337
йи,180,0.00060337
нп,179,0.00060002
дь,179,0.00060002
чн,179,0.00060002
вш,179,0.00060002
ке,178,0.00059667
ьд,178,0.00059667
дс,176,0.00058997
ык,176,0.00058997
ца,175,0.00058661
яб,173,0.00057991
яо,171,0.00057321
кв,168,0.00056315
зе,167,0.00055980
нв,166,0.00055645
рс,165,0.00055309
рв,165,0.00055309
ьч,165,0.00055309
йд,162,0.00054304
йк,160,0.00053633
уи,160,0.00053633
зр,160,0.00053633
зу,157,0.00052628
нд,156,0.00052292
ьт,156,0.00052292
ыр,156,0.00052292
ха,154,0.00051622
лч,154,0.00051622
йм,153,0.00051287
нк,151,0.00050616
гн,149,0.00049946
ью,147,0.00049276
ию,146,0.00048940
рд,145,0.00048605
хр,144,0.00048270
яз,144,0.00048270
йо,143,0.00047935
уш,143,0.00047935
ци,143,0.00047935
нг,141,0.00047264
пы,140,0.00046929
юд,140,0.00046929
ср,139,0.00046594
нч,138,0.00046259
яч,136,0.00045588
ья,136,0.00045588
ют,136,0.00045588
аю,135,0.00045253
аф,134,0.00044918
ыш,133,0.00044583
иш,132,0.00044247
вв,132,0.00044247
ыд,132,0.00044247
бя,131,0.00043912
мл,128,0.00042907
ях,128,0.00042907
дя,126,0.00042236
яж,126,0.00042236
лп,124,0.00041566
сч,124,0.00041566
ау,124,0.00041566
йт,123,0.00041231
шн,123,0.00041231
юб,123,0.00041231
ыб,122,0.00040895
лж,122,0.00040895
оэ,120,0.00040225
зл,119,0.00039890
сд,117,0.00039219
ея,117,0.00039219
рг,116,0.00038884
юн,116,0.00038884
мч,116,0.00038884
чь,115,0.00038549
бн,115,0.00038549
кп,115,0.00038549
ец,114,0.00038214
чу,113,0.00037879
ьм,113,0.00037879
зы,113,0.00037879
сы,112,0.00037543
йб,110,0.00036873
ща,110,0.00036873
ыч,109,0.00036538
мт,107,0.00035867
ющ,107,0.00035867
пс,107,0.00035867
хт,106,0.00035532
мб,106,0.00035532
уо,106,0.00035532
лл,104,0.00034862
йл,104,0.00034862
еэ,104,0.00034862
фр,104,0.00034862
пя,104,0.00034862
шо,102,0.00034191
тд,102,0.00034191
хк,102,0.00034191
нц,101,0.00033856
дп,101,0.00033856
тб,100,0.00033521
уз,99,0.00033186
тт,99,0.00033186
ыо,98,0.00032850
рп,98,0.00032850
дк,97,0.00032515
вэ,97,0.00032515
йф,96,0.00032180
яр,96,0.00032180
рк,96,0.00032180
иа,95,0.00031845
мд,94,0.00031510
вм,92,0.00030839
ущ,92,0.00030839
мм,92,0.00030839
хб,92,0.00030839
мг,91,0.00030504
яе,91,0.00030504
тч,91,0.00030504
зб,90,0.00030169
чк,89,0.00029834
уе,89,0.00029834
ъя,89,0.00029834
хл,88,0.00029498
вб,88,0.00029498
вя,88,0.00029498
хж,88,0.00029498
яу,87,0.00029163
ыз,87,0.00029163
хд,86,0.00028828
ыг,86,0.00028828
юс,85,0.00028493
бщ,84,0.00028157
бъ,84,0.00028157
юк,81,0.00027152
ьу,81,0.00027152
тл,80,0.00026817
ге,80,0.00026817
юр,79,0.00026481
юч,79,0.00026481
лб,78,0.00026146
нб,78,0.00026146
ню,78,0.00026146
юп,78,0.00026146
аэ,78,0.00026146
ху,77,0.00025811
йр,76,0.00025476
нз,76,0.00025476
кк,75,0.00025141
юв,75,0.00025141
лг,74,0.00024805
мз,74,0.00024805
рш,74,0.00024805
сх,74,0.00024805
вг,74,0.00024805
кб,73,0.00024470
бс,73,0.00024470
тз,73,0.00024470
яг,72,0.00024135
мр,71,0.00023800
вч,70,0.00023465
ящ,70,0.00023465
вц,69,0.00023129
гт,69,0.00023129
ащ,68,0.00022794
зк,67,0.00022459
йч,66,0.00022124
ьг,65,0.00021789
гк,65,0.00021789
дт,64,0.00021453
лд,64,0.00021453
еа,63,0.00021118
кд,62,0.00020783
зс,62,0.00020783
ьр,62,0.00020783
зя,61,0.00020448
сб,61,0.00020448
лз,60,0.00020112
тм,59,0.00019777
ыу,59,0.00019777
аа,59,0.00019777
фо,58,0.00019442
йз,58,0.00019442
хм,58,0.00019442
цу,58,0.00019442
иф,58,0.00019442
иэ,57,0.00019107
ац,57,0.00019107
ощ,56,0.00018772
тж,55,0.00018436
рю,55,0.00018436
пт,54,0.00018101
яя,53,0.00017766
ою,53,0.00017766
йш,53,0.00017766
ьэ,53,0.00017766
бх,53,0.00017766
зп,52,0.00017431
яф,52,0.00017431
йг,51,0.00017096
еф,51,0.00017096
фу,51,0.00017096
пн,50,0.00016760
гс,50,0.00016760
цо,50,0.00016760
йж,49,0.00016425
вь,49,0.00016425
уа,49,0.00016425
гп,48,0.00016090
ьж,48,0.00016090
оф,47,0.00015755
мж,47,0.00015755
лт,47,0.00015755
хз,47,0.00015755
шу,46,0.00015420
сю,46,0.00015420
юм,45,0.00015084
щн,45,0.00015084
тг,45,0.00015084
лм,45,0.00015084
уя,44,0.00014749
км,44,0.00014749
щу,44,0.00014749
ьл,43,0.00014414
кз,43,0.00014414
ыж,43,0.00014414
юи,43,0.00014414
зж,43,0.00014414
вж,43,0.00014414
ею,41,0.00013744
рх,41,0.00013744
юо,40,0.00013408
мэ,40,0.00013408
дц,39,0.00013073
кч,39,0.00013073
цв,38,0.00012738
фи,38,0.00012738
чш,38,0.00012738
йу,37,0.00012403
юх,37,0.00012403
фл,37,0.00012403
жь,36,0.00012067
нр,36,0.00012067
хг,35,0.00011732
оц,35,0.00011732
сг,35,0.00011732
шт,34,0.00011397
яй,33,0.00011062
ьф,33,0.00011062
сц,33,0.00011062
бэ,32,0.00010727
шь,31,0.00010391
юж,31,0.00010391
гв,31,0.00010391
лр,31,0.00010391
дд,31,0.00010391
пк,30,0.00010056
йц,30,0.00010056
бк,30,0.00010056
хч,29,0.00009721
ьа,29,0.00009721
яа,29,0.00009721
кж,28,0.00009386
яю,28,0.00009386
мю,28,0.00009386
хф,28,0.00009386
дб,28,0.00009386
оа,28,0.00009386
уу,27,0.00009051
мь,27,0.00009051
чф,26,0.00008715
рб,26,0.00008715
лэ,26,0.00008715
юф,25,0.00008380
тэ,24,0.00008045
йа,24,0.00008045
ыя,24,0.00008045
уф,24,0.00008045
яэ,24,0.00008045
фа,24,0.00008045
зт,24,0.00008045
рч,24,0.00008045
дч,23,0.00007710
йя,23,0.00007710
нм,23,0.00007710
уэ,22,0.00007375
дз,22,0.00007375
ъе,22,0.00007375
лф,22,0.00007375
кэ,22,0.00007375
эк,22,0.00007375
юз,21,0.00007039
дм,21,0.00007039
ыэ,21,0.00007039
тх,20,0.00006704
юг,20,0.00006704
ыа,20,0.00006704
бь,20,0.00006704
жу,19,0.00006369
дх,19,0.00006369
гш,19,0.00006369
вф,19,0.00006369
яц,18,0.00006034
сз,18,0.00006034
пь,18,0.00006034
мх,18,0.00006034
эл,18,0.00006034
чо,17,0.00005699
йх,17,0.00005699
кц,17,0.00005699
рл,17,0.00005699
хе,17,0.00005699
ьц,17,0.00005699
рр,17,0.00005699
сш,17,0.00005699
юл,17,0.00005699
тф,17,0.00005699
сэ,17,0.00005699
нл,16,0.00005363
рз,15,0.00005028
ьх,15,0.00005028
хэ,15,0.00005028
бв,15,0.00005028
ыф,15,0.00005028
цн,15,0.00005028
нх,15,0.00005028
вх,15,0.00005028
зз,14,0.00004693
дю,14,0.00004693
сж,13,0.00004358
кг,13,0.00004358
тщ,13,0.00004358
йе,13,0.00004358
мф,13,0.00004358
сф,13,0.00004358
яш,13,0.00004358
тц,12,0.00004022
зч,12,0.00004022
цд,12,0.00004022
чр,12,0.00004022
гч,12,0.00004022
юш,11,0.00003687
щз,11,0.00003687
рф,11,0.00003687
юэ,11,0.00003687
цп,11,0.00003687
цс,11,0.00003687
зь,10,0.00003352
шп,10,0.00003352
дг,10,0.00003352
эн,10,0.00003352
зъ,10,0.00003352
хц,10,0.00003352
нж,10,0.00003352
юа,10,0.00003352
чм,10,0.00003352
бш,10,0.00003352
зф,10,0.00003352
бм,9,0.00003017
кя,9,0.00003017
рц,9,0.00003017
цк,9,0.00003017
чв,9,0.00003017
дъ,9,0.00003017
нф,9,0.00003017
хя,9,0.00003017
лщ,9,0.00003017
юе,8,0.00002682
мш,8,0.00002682
кш,8,0.00002682
лц,8,0.00002682
шв,8,0.00002682
юу,8,0.00002682
йэ,8,0.00002682
жб,8,0.00002682
щь,8,0.00002682
жв,7,0.00002346
цт,7,0.00002346
зэ,7,0.00002346
цф,7,0.00002346
гм,7,0.00002346
уй,7,0.00002346
чл,7,0.00002346
бд,7,0.00002346
пш,7,0.00002346
юй,6,0.00002011
кх,6,0.00002011
дш,6,0.00002011
юю,6,0.00002011
хх,6,0.00002011
вщ,6,0.00002011
пп,6,0.00002011
бч,5,0.00001676
гг,5,0.00001676
гз,5,0.00001676
рщ,5,0.00001676
юц,5,0.00001676
нщ,5,0.00001676
лш,5,0.00001676
жм,4,0.00001341
хш,4,0.00001341
мц,4,0.00001341
цб,4,0.00001341
лх,4,0.00001341
жж,4,0.00001341
ыц,4,0.00001341
жт,4,0.00001341
жг,4,0.00001341
йщ,4,0.00001341
ыщ,4,0.00001341
кф,4,0.00001341
бг,4,0.00001341
що,4,0.00001341
чг,3,0.00001006
шд,3,0.00001006
гб,3,0.00001006
гх,3,0.00001006
щс,3,0.00001006
эф,3,0.00001006
жс,3,0.00001006
шг,3,0.00001006
юя,3,0.00001006
пв,3,0.00001006
зх,2,0.00000670
рэ,2,0.00000670
шю,2,0.00000670
гф,2,0.00000670
пб,2,0.00000670
шб,2,0.00000670
зц,2,0.00000670
шр,2,0.00000670
бб,2,0.00000670
фз,2,0.00000670
жз,2,0.00000670
хщ,2,0.00000670
эг,2,0.00000670
хю,2,0.00000670
тш,2,0.00000670
щв,2,0.00000670
дэ,2,0.00000670
фф,2,0.00000670
пч,2,0.00000670
съ,2,0.00000670
цр,2,0.00000670
уц,2,0.00000670
цч,2,0.00000670
зщ,2,0.00000670
дф,2,0.00000670
щр,2,0.00000670
гэ,2,0.00000670
эп,2,0.00000670
нэ,2,0.00000670
